company_id,sector,previous_pattern,current_pattern,shift_description
COMP_61,Energy,Balanced Reinvestor,Free Cash Flow Compounder,Transitioned from Balanced Reinvestor to Free Cash Flow Compounder
COMP_62,Financials,Aggressive Expansion,Debt Paydown,Transitioned from Aggressive Expansion to Debt Paydown
COMP_63,Financials,Balanced Reinvestor,Aggressive Expansion,Transitioned from Balanced Reinvestor to Aggressive Expansion
COMP_64,IT Services,Capital Intensive,Distress Signal,Transitioned from Capital Intensive to Distress Signal
COMP_66,Pharma,Balanced Reinvestor,Free Cash Flow Compounder,Transitioned from Balanced Reinvestor to Free Cash Flow Compounder
COMP_67,Financials,Aggressive Expansion,Debt Paydown,Transitioned from Aggressive Expansion to Debt Paydown
COMP_68,Manufacturing,Balanced Reinvestor,Aggressive Expansion,Transitioned from Balanced Reinvestor to Aggressive Expansion
COMP_69,Manufacturing,Capital Intensive,Distress Signal,Transitioned from Capital Intensive to Distress Signal
COMP_71,Manufacturing,Balanced Reinvestor,Free Cash Flow Compounder,Transitioned from Balanced Reinvestor to Free Cash Flow Compounder
COMP_72,Healthcare,Aggressive Expansion,Debt Paydown,Transitioned from Aggressive Expansion to Debt Paydown
COMP_73,Manufacturing,Balanced Reinvestor,Aggressive Expansion,Transitioned from Balanced Reinvestor to Aggressive Expansion
COMP_74,Pharma,Capital Intensive,Distress Signal,Transitioned from Capital Intensive to Distress Signal
COMP_76,Consumer Goods,Balanced Reinvestor,Free Cash Flow Compounder,Transitioned from Balanced Reinvestor to Free Cash Flow Compounder
COMP_77,Energy,Aggressive Expansion,Debt Paydown,Transitioned from Aggressive Expansion to Debt Paydown
COMP_78,IT Services,Balanced Reinvestor,Aggressive Expansion,Transitioned from Balanced Reinvestor to Aggressive Expansion
COMP_79,Manufacturing,Capital Intensive,Distress Signal,Transitioned from Capital Intensive to Distress Signal
COMP_81,Manufacturing,Balanced Reinvestor,Free Cash Flow Compounder,Transitioned from Balanced Reinvestor to Free Cash Flow Compounder
COMP_82,Financials,Aggressive Expansion,Debt Paydown,Transitioned from Aggressive Expansion to Debt Paydown
COMP_83,Energy,Balanced Reinvestor,Aggressive Expansion,Transitioned from Balanced Reinvestor to Aggressive Expansion
COMP_84,Energy,Capital Intensive,Distress Signal,Transitioned from Capital Intensive to Distress Signal
COMP_86,Financials,Balanced Reinvestor,Free Cash Flow Compounder,Transitioned from Balanced Reinvestor to Free Cash Flow Compounder
COMP_87,Manufacturing,Aggressive Expansion,Debt Paydown,Transitioned from Aggressive Expansion to Debt Paydown
COMP_88,Energy,Balanced Reinvestor,Aggressive Expansion,Transitioned from Balanced Reinvestor to Aggressive Expansion
COMP_89,Pharma,Capital Intensive,Distress Signal,Transitioned from Capital Intensive to Distress Signal
COMP_91,Financials,Balanced Reinvestor,Free Cash Flow Compounder,Transitioned from Balanced Reinvestor to Free Cash Flow Compounder
COMP_92,Financials,Aggressive Expansion,Debt Paydown,Transitioned from Aggressive Expansion to Debt Paydown
